station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
690,51.519,-0.188,Royal Oak,2.0,0,0,6,Hammersmith & City Line
691,51.5715,-0.4213,Ruislip,6.0,0,0,8,Metropolitan Line
691,51.5715,-0.4213,Ruislip,6.0,0,0,10,Piccadilly Line
692,51.5606,-0.4103,Ruislip Gardens,5.0,0,0,2,Central Line
693,51.5732,-0.4125,Ruislip Manor,6.0,0,0,8,Metropolitan Line
693,51.5732,-0.4125,Ruislip Manor,6.0,0,0,10,Piccadilly Line
694,51.523,-0.1244,Russell Square,1.0,0,0,10,Piccadilly Line
698,51.5822,-0.0749,Seven Sisters,3.0,0,0,11,Victoria Line
700,51.5046,-0.2187,Shepherd's Bush,2.0,0,0,2,Central Line
775,51.50583,-0.22639,Shepherd's Bush Market,2.0,0,0,3,Circle Line
775,51.50583,-0.22639,Shepherd's Bush Market,2.0,0,0,6,Hammersmith & City Line
702,51.4924,-0.1565,Sloane Square,1.0,0,0,3,Circle Line
702,51.4924,-0.1565,Sloane Square,1.0,0,0,4,District Line
703,51.5808,0.0216,Snaresbrook,4.0,0,0,2,Central Line
704,51.5011,-0.3072,South Ealing,3.0,0,0,10,Piccadilly Line
707,51.5646,-0.3521,South Harrow,5.0,0,0,10,Piccadilly Line
708,51.4941,-0.1738,South Kensington,1.0,0,0,3,Circle Line
708,51.4941,-0.1738,South Kensington,1.0,0,0,4,District Line
708,51.4941,-0.1738,South Kensington,1.0,0,0,10,Piccadilly Line
709,51.5701,-0.3081,South Kenton,4.0,0,0,1,Bakerloo Line
710,51.5569,-0.3988,South Ruislip,5.0,0,0,2,Central Line
711,51.4154,-0.1919,South Wimbledon,3.5,0,0,9,Northern Line
712,51.5917,0.0275,South Woodford,4.0,1,1,2,Central Line
705,51.4454,-0.2066,Southfields,3.0,1,1,4,District Line
706,51.6322,-0.128,Southgate,4.0,0,0,10,Piccadilly Line
784,51.501,-0.1052,Southwark,1.0,1,1,7,Jubilee Line
695,51.4994,-0.1335,St. James's Park,1.0,0,0,3,Circle Line
695,51.4994,-0.1335,St. James's Park,1.0,0,0,4,District Line
696,51.5347,-0.174,St. John's Wood,2.0,0,0,7,Jubilee Line
697,51.5146,-0.0973,St. Paul's,1.0,0,0,2,Central Line
713,51.495,-0.2459,Stamford Brook,2.0,0,0,4,District Line
714,51.6194,-0.3028,Stanmore,5.0,1,1,7,Jubilee Line
715,51.5221,-0.047,Stepney Green,2.0,0,0,4,District Line
715,51.5221,-0.047,Stepney Green,2.0,0,0,6,Hammersmith & City Line
716,51.4723,-0.123,Stockwell,2.0,0,1,9,Northern Line
716,51.4723,-0.123,Stockwell,2.0,0,1,11,Victoria Line
717,51.5439,-0.2759,Stonebridge Park,3.0,0,0,1,Bakerloo Line
719,51.5416,-0.0042,Stratford,3.0,1,1,2,Central Line
719,51.5416,-0.0042,Stratford,3.0,1,1,7,Jubilee Line
720,51.5569,-0.3366,Sudbury Hill,4.0,0,0,10,Piccadilly Line
721,51.5507,-0.3156,Sudbury Town,4.0,1,1,10,Piccadilly Line
723,51.5432,-0.1738,Swiss Cottage,2.0,0,0,7,Jubilee Line
724,51.5111,-0.1141,Temple,1.0,0,0,3,Circle Line
724,51.5111,-0.1141,Temple,1.0,0,0,4,District Line
725,51.6717,0.1033,Theydon Bois,6.0,0,0,2,Central Line
726,51.4361,-0.1598,Tooting Bec,3.0,0,0,9,Northern Line
727,51.4275,-0.168,Tooting Broadway,3.0,0,0,9,Northern Line
728,51.5165,-0.131,Tottenham Court Road,1.0,1,1,2,Central Line
728,51.5165,-0.131,Tottenham Court Road,1.0,1,1,9,Northern Line
729,51.5882,-0.0594,Tottenham Hale,3.0,1,1,11,Victoria Line
730,51.6302,-0.1791,Totteridge & Whetstone,4.0,0,0,9,Northern Line
731,51.5098,-0.0766,Tower Hill,1.0,1,1,3,Circle Line
731,51.5098,-0.0766,Tower Hill,1.0,1,1,4,District Line
733,51.5567,-0.1374,Tufnell Park,2.0,0,0,9,Northern Line
734,51.4951,-0.2547,Turnham Green,2.5,0,0,4,District Line
735,51.5904,-0.1028,Turnpike Lane,3.0,0,0,10,Piccadilly Line
736,51.559,0.251,Upminster,6.0,1,1,4,District Line
737,51.5582,0.2343,Upminster Bridge,6.0,0,0,4,District Line
738,51.5385,0.1014,Upney,4.0,1,1,4,District Line
739,51.5352,0.0343,Upton Park,3.0,0,0,4,District Line
739,51.5352,0.0343,Upton Park,3.0,0,0,6,Hammersmith & City Line
740,51.5463,-0.4786,Uxbridge,6.0,1,1,8,Metropolitan Line
740,51.5463,-0.4786,Uxbridge,6.0,1,1,10,Piccadilly Line
777,51.4861,-0.1253,Vauxhall,1.5,1,1,11,Victoria Line
741,51.4965,-0.1447,Victoria,1.0,1,1,3,Circle Line
741,51.4965,-0.1447,Victoria,1.0,1,1,4,District Line
741,51.4965,-0.1447,Victoria,1.0,1,1,11,Victoria Line
742,51.583,-0.0195,Walthamstow Central,3.0,0,0,11,Victoria Line
